ent,mun,est,pea,ocupados,informales
5,23,3,54.933,95.891,47.468
5,23,4,56.036,99.814,81.184
5,23,5,0.604,2.321,15.933
5,24,1,65.945,96.038,40.049
5,24,2,1.873,2.91,4.947
5,24,3,62.864,91.251,31.911
5,24,4,69.027,96.249,48.187
5,24,5,2.841,3.03,12.354
5,25,1,62.058,97.194,34.373
5,25,2,2.288,3.647,4.286
5,25,3,58.295,91.196,27.322
5,25,4,65.821,97.287,41.423
5,25,5,3.686,3.752,12.47
5,26,1,55.808,98.483,59.508
5,26,2,2.997,5.104,10.342
5,26,3,50.877,90.088,42.497
5,26,4,60.738,98.95,76.519
5,26,5,5.371,5.182,17.379
5,27,1,64.797,98.025,26.126
5,27,2,1.779,2.699,3.368
5,27,3,61.87,93.585,20.586
5,27,4,67.723,98.116,31.667
5,27,5,2.746,2.753,12.892
5,28,1,59.956,95.593,33.763
5,28,2,1.72,2.229,5.383
5,28,3,57.127,91.928,24.909
5,28,4,62.784,99.259,42.617
5,28,5,2.868,2.331,15.944
5,29,1,58.147,98.764,55.48
5,29,2,2.682,4.457,6.961
5,29,3,53.735,91.433,44.03
5,29,4,62.559,99.219,66.93
5,29,5,4.613,4.513,12.547
5,30,1,60.405,95.531,27.339
5,30,2,0.775,1.267,1.362
5,30,3,59.13,93.446,25.099
5,30,4,61.68,97.615,29.579
5,30,5,1.284,1.327,4.981
5,31,1,56.711,98.756,54.158
5,31,2,2.793,4.739,4.862
5,31,3,52.118,90.961,46.16
5,31,4,61.305,98.92,62.156
5,31,5,4.924,4.799,8.978
5,32,1,59.83,96.633,38.854
5,32,2,2.677,4.347,6.555
5,32,3,55.427,89.483,28.071
5,32,4,64.234,96.838,49.636
5,32,5,4.474,4.498,16.872
5,33,1,59.551,96.272,46.696
5,33,2,0.183,0.108,5.352
5,33,3,59.25,96.094,37.893
5,33,4,59.851,96.45,55.499
5,33,5,0.307,0.112,11.461
5,34,1,66.208,98.141,50.057
5,34,2,3.085,4.433,8.86
5,34,3,61.135,90.849,35.483
5,34,4,71.282,98.497,64.631
5,34,5,4.659,4.517,17.701
5,35,1,63.051,95.644,36.453
5,35,2,0.833,1.282,1.218
5,35,3,61.682,93.536,34.449
5,35,4,64.42,97.753,38.456
5,35,5,1.32,1.34,3.342
5,36,1,56.212,98.331,57.606
5,36,2,2.987,5.047,10.206
5,36,3,51.299,90.03,40.818
5,36,4,61.125,98.546,74.394
5,36,5,5.313,5.132,17.718
5,37,1,60.286,98.242,62.05
5,37,2,2.986,4.704,9.571
5,37,3,55.375,90.505,46.307
5,37,4,65.198,98.613,77.792
5,37,5,4.953,4.788,15.424
5,38,1,59.18,98.295,56.81
5,38,2,2.981,4.783,9.704
5,38,3,54.277,90.427,40.848
5,38,4,64.084,98.555,72.772
5,38,5,5.038,4.866,17.082
6,0,1,66.248,97.865,48.578
6,0,2,0.643,0.239,1.068
6,0,3,65.191,97.471,46.822
6,0,4,67.306,98.259,50.334
6,0,5,0.97,0.245,2.198
6,1,1,65.779,98.087,63.944
